,Latitude,Longitude,Unit,Sub_Type,Gear,Result,Infraction,CFR,Vessel_Type,Main fishing gear,LOA,LBP,Tonnage GT,Other tonnage,Power of main engine,Power of auxiliary engine,Hull material,Date of entry into service,Year of construction,real_local,Local_Name,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,XIII,XIV,number_infracs,Year,Month,Day,Period,NUTSII_Code
823,41º22´5.93N,9º0´27.44W,Unit_14,Trawl,Trawl,LEGAL,,CFR_513,TTW,OTB,28.1,26.4,238.2,170.0,569.2,,2.0,1992.0,1992.0,PTAVE,Aveiro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,5,4,PT16
824,41º36´3.94N,9º8´14.36W,Unit_14,Multipurpose,Trammel nets,PRESUM,XIV,CFR_514,MOX,GTR,13.3,11.2,16.3,,136.1,,2.0,2007.0,2007.0,PTVDC,Viana do Castelo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2015,8,6,2,PT11
825,41º33´6.01N,9º12´58.61W,Unit_14,Multipurpose,Gillnetting,PRESUM,XIV,CFR_515,FX,GTR,21.2,,60.2,32.0,95.5,,1.0,1980.0,1979.0,PTVIC,Vila do Conde,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2015,8,6,2,PT11
826,36º37´32.07N,7º37´40.28W,Unit_21,Trawl,Trawl,PRESUM,II XII XIII XIV,CFR_418,TTW,OTB,25.6,24.4,145.5,111.0,465.1,,3.0,2000.0,2000.0,PTVRE,Vila Real de Santo Antonio,0,1,0,0,0,0,0,0,0,0,0,1,1,1,4,2015,8,8,3,PT15
827,38º19´29.68N,8º51´0.30W,Unit_10,Seine net,Gillnetting,LEGAL,,CFR_516,MOX,GNS,11.0,8.6,6.2,10.0,69.9,,1.0,1960.0,1960.0,PTSSB,Sesimbra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,6,4,PT17
828,38º25´18.56N,8º53´51.33W,Unit_10,Gillnet/trammel net,Trammel nets,PRESUM,XIII,CFR_517,FX,GNS,8.9,,5.9,5.0,44.3,,1.0,1946.0,1946.0,PTSET,Setubal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2015,8,6,4,PT17
829,38º23´10.57N,9º1´13.91W,Unit_10,Gillnet/trammel net,Gillnetting,LEGAL,,NOCFR_52,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,9,2,
830,37º3´53.17N,8º8´35.37W,Unit_11,Towed Dredge,Towed Dredge,LEGAL,,CFR_518,FX,DRB,7.7,9.2,13.2,8.0,148.6,,1.0,1950.0,1950.0,PTOLH,Olhao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,7,2,PT15
831,36º57´8.71N,7º54´50.31W,Unit_7,Seine net,Gillnetting,PRESUM,XIV,CFR_116,SP,PS,18.0,,26.8,26.0,200.2,,1.0,1939.0,1939.0,PTOLH,Olhao,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2015,8,7,4,PT15
832,37º0´24.70N,8º6´16.13W,Unit_7,Line fishing vessel,Lines,LEGAL,,CFR_47,MOX,LHP,7.3,,11.7,2.0,32.8,,3.0,2003.0,2003.0,PTSSB,Sesimbra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,8,1,PT17
833,37º0´56.19N,8º4´47.44W,Unit_7,Line fishing vessel,Lines,LEGAL,,CFR_519,MOX,GNS,8.8,,18.2,3.0,21.5,20.0,3.0,2002.0,2003.0,PTQRT,Quarteira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,8,1,PT15
834,38º20´12.00N,8º58´58.28W,Unit_10,Gillnet/trammel net,Pots,LEGAL,,CFR_53,MOX,GNS,13.4,7.0,40.8,10.0,33.5,,3.0,2012.0,2013.0,PTSSB,Sesimbra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,10,3,PT17
835,38º17´45.06N,9º3´15.61W,Unit_10,Traps,Pots,LEGAL,,CFR_54,MOX,GNS,14.7,12.1,25.3,21.0,115.1,,1.0,1992.0,1991.0,PTTVR,Tavira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,11,2,PT15
836,38º15´59.74N,9º14´22.92W,Unit_10,Longline,Longline,PRESUM,XIII XIV,CFR_520,LL,GNS,14.6,,9.8,35.0,169.1,,1.0,1974.0,1973.0,PTSSB,Sesimbra,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2015,8,11,2,PT17
837,36º56´31.88N,7º58´49.61W,Unit_3,Multipurpose,Traps,LEGAL,,NOCFR_7,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,11,2,
838,41º54´20.29N,8º47´26.29W,Unit_4,Other,Gear nei,PRESUM,XIV,CFR_217,MOX,LLS,6.3,,4.9,,52.3,,2.0,2007.0,2007.0,PTCAM,Caminha,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2015,8,11,2,PT11
839,41º54´22.12N,8º48´30.47W,Unit_4,Other,Gear nei,LEGAL,,CFR_3,MOX,GTR,4.2,,8.9,,93.1,,3.0,2005.0,2005.0,PTCAM,Caminha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,11,2,PT11
840,41º54´48.20N,8º48´15.44W,Unit_4,Other,Gear nei,LEGAL,,NOCFR_254,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,11,2,
841,41º16´34.63N,8º46´3.34W,Unit_14,Multipurpose,All,LEGAL,,CFR_521,DB,GNS,14.3,14.6,6.1,20.0,112.1,,1.0,1962.0,1962.0,PTDOU,Douro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,10,2,PT11
842,41º16´49.01N,8º46´21.53W,Unit_14,Seine net,All,PRESUM,XII,NOCFR_307,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2015,8,10,2,
843,41º9´0.63N,8º47´0.10W,Unit_14,Trawl,All,PRESUM,XII,CFR_522,TTW,OTB,33.1,30.9,228.6,180.0,921.2,,2.0,1978.0,1977.0,PTLEI,Leixoes,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2015,8,10,2,PT11
844,38º20´17.17N,9º6´0.35W,Unit_10,Gillnet/trammel net,Gillnetting,PRESUM,XIV,CFR_171,MOX,GNS,17.1,14.5,34.7,32.0,180.6,,1.0,2000.0,2000.0,PTVIC,Vila do Conde,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2015,8,12,2,PT11
845,36º58´45.30N,7º59´25.17W,Unit_7,Line fishing vessel,Lines,PRESUM,XIV,NOCFR_221,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2015,8,10,3,
846,37º3´12.75N,8º14´4.83W,Unit_7,Gillnet/trammel net,Gillnetting,LEGAL,,CFR_523,MOX,GNS,6.6,8.5,7.7,8.0,35.1,,3.0,1993.0,1993.0,PTQRT,Quarteira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,10,4,PT15
847,37º2´5.28N,8º15´30.53W,Unit_7,Line fishing vessel,Lines,LEGAL,,CFR_524,MOX,GTR,6.8,,6.7,2.0,44.0,,3.0,2006.0,2006.0,PTABF,Albufeira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,11,4,PT15
848,41º22´43.70N,8º42´34.72W,Unit_14,Seine net,All,PRESUM,XIV,CFR_525,SP,PS,19.6,22.7,30.5,66.0,298.1,90.0,1.0,1977.0,1977.0,PTVIC,Vila do Conde,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2015,8,12,2,PT11
849,41º23´3.46N,8º40´30.41W,Unit_14,Seine net,All,PRESUM,XIV,NOCFR_303,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2015,8,12,2,
850,41º17´52.27N,8º45´21.04W,Unit_14,Seine net,All,PRESUM,XIV,NOCFR_462,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2015,8,12,2,
851,37º3´31.38N,8º13´35.55W,Unit_7,Gillnet/trammel net,Gillnetting,LEGAL,,CFR_523,MOX,GNS,2.5,6.3,43.7,8.0,61.3,,3.0,1983.0,1982.0,PTQRT,Quarteira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,11,4,PT15
852,36º57´29.08N,8º29´33.05W,Unit_11,Multipurpose,Longline,LEGAL,,CFR_85,MOX,FPO,5.8,,1.4,2.0,9.7,10.0,3.0,1996.0,1996.0,PTPRM,Portimao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8,9,2,PT15
853,36º58´56.92N,8º0´59.87W,Unit_7,Traps,Traps,PRESUM,XIII XIV,CFR_238,MOX,GNS,5.9,,21.2,,60.8,,3.0,2003.0,2003.0,PTQRT,Quarteira,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2015,8,10,3,PT15
